,Tweets,date
0, This BAYC doesn t duck around full fleet of Ducks at his service quack,2022-06-17
1,this is some really really innovative cool thinking tech n art slap in the face I love it alot maaad respect for this BAYC ,2022-06-17
2,Cannot express how grateful I am for and for making this happen for Verne my koda And I love how the Bark Moss armor is integrated into the animation Verne is ready for KodaGang BAYC MAYC Otherside ,2022-06-17
3, You can check the ODYC Duckfollowduck ODYC quackquack QUACKarmy Quack DucklingsODYC duckfollowduck NFTmint NFTs NFT NFTCommunity Like other BAYC friends BAYC ,2022-06-17
4, Gobmorning boredassgoblins BAGS GOBLINQUEENS BORED BAYC BOREDAPEYACHTCLUB nft NFTCommunity goblintownwtf goblinbebe ,2022-06-17
5, Preview 1 of our top super rare NFTs What should his name be BAYC Doodles MAYC BeNoble Art by ,2022-06-17
6, Buy 1 doodle house for free Funky Ape Wtf Buy 2 doodle house amp get 4 Funky Ape Wtf NFTCommunity opensea NFTArtist ,2022-06-17
7,i don t give a fuck about steph curry and i don t know why BAYC people do but if there s any indication as to what NFTs can create it s him catching a ring ,2022-06-17
8, Floor is higher than BAYC,2022-06-17
9,Invest in your education Invest in relationships Be part of a community 1verse podcast meta horizonworlds socialstatus BAYC invest ,2022-06-17
10,New RR BAYC minted 5461 RRBAYC NFTs ,2022-06-17
11,Banner Are you kidding me this is a movie billboard Check this out Thank you BAYC MAYC BAKC OthersideMeta ,2022-06-17
12, BAYC pablobly nuffin,2022-06-17
13, Read that Tag is developing an nft watch for the bayc bunch pretty kool ,2022-06-17
14,So last night investment s all verified all have utilities all have strong community Owner of PAD owns BAYC so he did his thing and very proud of that ,2022-06-17
15, Otherdeed 94926 bought for 2 39 2623 74 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-17
16, Got a in your wallet Make sure you set it as your Twitter PFP yes a jpg is fine just don t rescale it Its al ,2022-06-17
17,SuperfReqs NFT Mint 11 11 Like RT FLW TAG 3 plz NFT NFTs Metaverse defi ETH XRP Gamefi NFTcommunity NFTgame NFTart psychedelic PsychedelicArt BAYC meditation yoga love ,2022-06-17
18, may be willing to testify that I d treat a BAYC quite well,2022-06-17
19,TFW you get invited to be a 1 at ApeFest ApeFest2022 MAYC BAYC NFTNYC NFTNYC2022 LFG ,2022-06-17
